,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Comedy,Crime,Western,Film-Noir,Horror,Thriller,News,War,Fantasy,Romance,Documentary,Animation,History,Adventure,Action,Sport,Family,Mystery,Sci-Fi,Short,Drama,Biography,Music,Musical
5516,tt0265349,movie,The Mothman Prophecies,The Mothman Prophecies,0,2002,\N,119,"['Drama', 'Horror', 'Mystery']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5517,tt0265459,movie,One Hour Photo,One Hour Photo,0,2002,\N,96,"['Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5518,tt0265591,movie,Pumpkin,Pumpkin,0,2002,\N,113,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5519,tt0265632,movie,Recess: School's Out,Recess: School's Out,0,2001,\N,82,"['Animation', 'Comedy', 'Family']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5520,tt0265651,movie,Ripley's Game,Ripley's Game,0,2002,\N,110,"['Crime', 'Drama', 'Mystery']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5521,tt0265662,movie,The Rookie,The Rookie,0,2002,\N,127,"['Drama', 'Family', 'Sport']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
5522,tt0265666,movie,The Royal Tenenbaums,The Royal Tenenbaums,0,2001,\N,110,"['Comedy', 'Drama']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5523,tt0265713,movie,"Scotland, Pa.","Scotland, Pa.",0,2001,\N,104,"['Comedy', 'Crime']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5524,tt0265808,movie,Stealing Harvard,Stealing Harvard,0,2002,\N,85,"['Comedy', 'Crime']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5525,tt0265930,movie,The Last Kiss,L'ultimo bacio,0,2001,\N,115,"['Comedy', 'Drama', 'Romance']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5526,tt0266308,movie,Battle Royale,Batoru rowaiaru,0,2000,\N,114,"['Adventure', 'Drama', 'Sci-Fi']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
5527,tt0266391,movie,The Cat's Meow,The Cat's Meow,0,2001,\N,114,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5528,tt0266452,movie,Death to Smoochy,Death to Smoochy,0,2002,\N,109,"['Comedy', 'Crime', 'Drama']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5529,tt0266465,movie,A Man Apart,A Man Apart,0,2003,\N,109,"['Action', 'Crime', 'Drama']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5530,tt0266489,movie,Duplex,Duplex,0,2003,\N,89,['Comedy'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
